account,total_volume,total_pnl,total_trades,profitable_trades,unprofitable_trades,avg_profit_per_trade,avg_loss_per_trade,total_positive_pnl,total_negative_pnl,days_since_first_trade,days_since_last_trade,daily_mean_ROI,daily_ROI_std,MDD,close_trades_in_lastfew_months,max_volume,daily_SUM_ROI,neg_returns,exchange,mean_open_trades,median_open_trades,mode_open_trades,std_negative_returns,optimum_profit_percentage,optimum_stop_loss_percentage,ROI_Profit_Percent,trade_type,win_rate,profit_factor,sharpe_ratio,sortino_ratio,Ranking_Score
0x370079ccef9d805c663005b85dde2352efbaa6ce,20601174.44,117775.6939,91,49,42,4032.992757,-1900.975028,197616.6451,-79840.95119,628,523,0.36655263,2.166048149,0,0,990633.3299,33.35628937,-39.50380369,GMXV1,2.16,2,1,0.874025953,0.07590059,-0.360565641,0.571694076,SELL,0.538461538,2.475110417,3.2182092,7.921688435,0.137389873
0xac878c0f60dac4cd72a4956da2a3c8a46cda1362,449463.1214,37808.61027,55,45,10,970.9630232,-588.4725771,43693.33604,-5884.725771,841,199,19.59881858,28.32738324,0,0,32000,1077.935022,-45.46703612,GMXV1,1.5,1.5,2,2.510460137,5.52064632,0,8.411949385,SELL,0.818181818,7.423780473,13.21346082,148.5581532,0.137360177
0x6cc150449d10afbc5d2f4b9041afcc8fbebeadf0,3722176.568,14881.97538,68,42,26,570.7588189,-349.6113466,23971.8704,-9089.895011,811,439,1.025514987,2.98328471,0,0,422651.3605,69.73501914,-27.91571783,GMXV1,1,1,1,0.860195798,0.118184079,-0.3829652,0.399819168,SELL,0.617647059,2.637019828,6.545463671,22.51497464,0.137352903
0xc74a225561d7c2d02dce6ec664f799955d76af8e,7856731.481,24141.04777,266,184,82,337.319459,-462.5089351,62066.78045,-37925.73268,699,359,0.403505093,1.999648365,0,0,155467.3771,107.3323547,-131.0634073,GMXV1,1.166666667,1,1,1.014201191,0.469333625,-0.436273321,0.307265786,SELL,0.691729323,1.636517993,3.835971561,7.526796538,0.137261649
0x3ac100ceb06de19d03bdf778041fe8a84c0b056c,13739694.32,14927.23867,222,147,75,583.2227795,-944.0867989,85733.74859,-70806.50991,1025,390,0.112747985,1.980099898,0,0,351520.3113,25.03005264,-149.7954092,GMXV1,1.022727273,1,1,1.31898816,0.453175173,-0.966852519,0.108643164,SELL,0.662162162,1.210814343,1.082381456,1.620817469,0.137138152
0x6f1a7d4fc905aa448df0c3f46c5e37e4aaf22892,1549216.636,5403.03478,63,41,22,270.8590397,-259.1902658,11105.22063,-5702.185848,719,400,0.815395513,2.212960427,0,0,105652.9383,51.36991733,-22.05694721,GMXV1,1,1,1,0.668786027,0.451016904,-0.383703541,0.348759151,SELL,0.650793651,1.947371333,7.007821291,22.94995594,0.137002615
0x0bf58122f340e89268bd32b2b630309af5ead5df,10849103.42,10791.32684,62,24,38,1838.118493,-876.9346578,44114.84384,-33323.517,724,682,0.067112516,1.462473509,0,0,444970.1717,4.160976014,-29.84546059,GMXV1,1,1,1,0.924281935,0,-0.426973094,0.099467453,SELL,0.387096774,1.323825454,0.870768008,1.372372489,0.136916397
0xd4076ac28dd0894d7e83b6562cd3c6812ba15fbc,1455946.695,8372.571054,108,74,34,236.2365078,-267.9097213,17481.50158,-9108.930523,703,360,0.758368447,3.078761257,0,0,55866.12735,81.90379224,-72.39539111,GMXV1,1,1,1,1.578630478,0.753427635,-0.538165639,0.575060274,SELL,0.685185185,1.919059814,4.690750635,9.120188129,0.13677163
0xc9fb99b5d2f2a75921e3682cd2056b016696f1d3,1672294.913,9090.00877,107,77,30,230.8165365,-289.428818,17772.87331,-8682.864539,559,323,0.434463132,2.019233151,0,0,67206.01281,46.48755507,-55.8751781,GMXV1,2,2,2,1.407051386,0.686754919,-0.080575634,0.543564936,SELL,0.719626168,2.046769987,4.09041537,5.857519746,0.136748764
0xccc453f915660795f88db49c10ea1116341414ea,5019375.025,25821.45701,90,73,17,911.0198492,-2393.117176,66504.44899,-40682.99199,514,225,0.868082724,2.788371185,0,0,238641.7155,78.12744518,-50.81195006,GMXV1,1.65625,1,1,2.044212205,1.120787424,0,0.514435699,SELL,0.811111111,1.634683465,5.926553722,8.073507266,0.13673886
0x1f0ae50fa26f019501eabe127b6b1e3ef4669c22,1256282.835,7666.439151,34,23,11,476.4786181,-299.3244604,10959.00822,-3292.569064,415,368,0.327184609,1.307104258,365.7487235,0,108704.5784,11.12427669,-13.12117783,GMXV1,1.5,1.5,2,0.701918375,0.32787852,-0.631689019,0.610247863,SELL,0.676470588,3.327699527,4.745906127,8.780294745,0.136657877
0x00c75c19a4cd3586280f980bafe09236235324d2,2200094.758,7784.18056,254,174,80,119.0217213,-161.5699868,20709.7795,-12925.59894,630,359,1.485774994,3.000487555,0,0,117207.6793,377.3868484,-91.16051155,GMXV1,27.16666667,5,5,0.861377238,0.852306891,-0.258391523,0.35381115,SELL,0.68503937,1.602183188,9.428934974,32.57566316,0.13659849
0x328fe286b2be1895959e2601364afe9daa22aba3,1311525.473,16558.04796,625,529,96,51.74121133,-112.635967,27371.10079,-10813.05283,552,130,1.876486131,3.836607837,0,127,26696.32525,1172.803832,-434.9446614,GMXV1,1.142857143,1,1,2.143032573,2.038255931,0,1.262502964,SELL,0.8464,2.531160262,9.319956364,16.65103335,0.13646819
0xa8f98b7b2039256ba66a12fead20e750ecf9670d,37496538.93,107646.7808,379,191,188,2185.856477,-1648.147906,417498.5871,-309851.8064,689,551,0.118668431,2.358187127,0,0,997665.1661,44.97533519,-308.3697057,GMXV1,2,2,2,1.237396545,0.006019476,-1.375904761,0.287084579,SELL,0.503957784,1.347412638,0.957338699,1.817511193,0.136466473
0xe339751c6b2955b01bc00681cc16354ae8f56910,790369.8,6169.176699,100,52,48,164.3031417,-49.47055562,8543.763368,-2374.58667,543,532,0.405525548,1.314263658,0,0,48000,40.55255482,-24.75125799,GAINS,3,3,3,0.384085433,0.032557188,-0.606261576,0.78054307,SELL,0.52,3.596906599,5.850462385,19.65958156,0.136387682
