account,total_volume,total_pnl,total_trades,profitable_trades,unprofitable_trades,avg_profit_per_trade,avg_loss_per_trade,total_positive_pnl,total_negative_pnl,days_since_first_trade,days_since_last_trade,daily_mean_ROI,daily_ROI_std,MDD,close_trades_in_lastfew_months,max_volume,daily_SUM_ROI,neg_returns,exchange,mean_open_trades,median_open_trades,mode_open_trades,std_negative_returns,optimum_profit_percentage,optimum_stop_loss_percentage,ROI_Profit_Percent,trade_type,win_rate,profit_factor,sharpe_ratio,sortino_ratio,Ranking_Score
0xf9cd3d20f01601c8b773d5cb943c29917d250abe,40194.93294962282,6718.6440207354935,31,21,10,366.22775130743514,-97.21387567206455,7690.782777456137,-972.1387567206455,291,4,26.243944898502935,43.93602598171093,0.0,19.0,4545.22,813.562291853591,-89.75399218942785,GMXV1,4.25,3.5,4,6.055433024739038,7.482383249569717,-2.3923870942958914,16.715151706201663,SELL,0.6774193548387096,7.904096640212412,11.409219652506055,82.66349018034866,0.6205384998802985
0x9f7cfd8088eb4e7bed6369a3629b693a17d4d2e4,153946.666225137,12344.406665883314,37,36,1,343.4202810401756,-18.72345156300828,12363.130117446322,-18.72345156300828,394,25,12.951521787011439,22.054434523640126,0.0,14.0,14867.558583766542,479.20630611942323,-0.5507235390613126,GMXV1,1.0,1.0,1,0.09053839210690216,6.569861064491911,0.0,8.018625520497093,SELL,0.972972972972973,626.8745649283562,11.214358384995153,2461.134210772534,0.604081280721779
0x2336f8e5957ff7d2d8ab57c4cbab37f532767cba,43828.484620639036,5443.479987665006,32,24,8,245.00062150662635,-54.566866061753316,5880.0149161590325,-436.53492849402653,831,54,7.255654574980279,16.333834374636716,0.0,3.0,6543.519645312,232.18094639936893,-25.944834231095133,GMXV1,1.0,1.0,1,2.7727993114223377,1.4780517002744196,-0.011591945147775753,12.419959382081045,SELL,0.75,13.441246705494333,8.481429928943962,49.812821733054236,0.5677688709960037
0xbe7dce4cf53712dc6033bf6f48973f924ed2a2e0,109511.46344306509,6871.26820749203,30,29,1,244.7418865065214,-226.24650119709025,7097.514708689121,-226.24650119709025,641,627,5.057950154180824,5.732259098716335,0.0,0.0,28144.6547816143,151.7385046254247,-5.573538194931261,GMXV1,3.0,3.0,3,1.0175841981601588,2.309469395459854,0.0,6.274473914837597,SELL,0.9666666666666667,31.237069311498878,16.828220453410236,94.03803813528305,0.5391437538409571
0x6b78dcd3c903bda605abe9423162cd8bd979850f,1514489.1067248438,144316.35889370952,110,84,26,1790.9575123117809,-235.54123617230997,150440.4310341896,-6124.072140480059,225,133,6.868520924415013,9.232610430416555,0.0,41.0,53550.0,755.5373016856514,-42.99882026524214,GMXV2,1.0,1.0,1,0.994596625279629,4.081743813861262,0.0,9.529045686290912,SELL,0.7636363636363637,24.56157700411976,14.197602397899688,130.62248539129715,0.5281926079618703
0xac878c0f60dac4cd72a4956da2a3c8a46cda1362,449463.12135478534,37808.610273899525,55,45,10,970.9630232159489,-588.472577081817,43693.3360447177,-5884.7257708181705,823,180,19.598818575511693,28.327383240800568,0.0,0.0,32000.0,1077.9350216531432,-45.46703611827187,GMXV1,1.5,1.5,2,2.5104601370373745,5.52064631956913,0.0,8.411949385287867,SELL,0.8181818181818182,7.423780472640638,13.21346081803225,148.5581531862687,0.5263635452440463
0x0265a656af44ace2405a24a6f9cc677e49347510,563459.9345534886,28637.656187420384,116,110,6,317.6762793541128,-1051.12242358867,34944.39072895241,-6306.73454153202,278,52,6.203037283738083,7.80519934599486,0.0,17.0,25273.81249519012,719.5523249136177,-51.76028497319838,GMXV2,26.0,26.0,26,2.209686808361072,4.201967861430699,0.0,5.082465394831341,SELL,0.9482758620689655,5.540085826196624,15.163894823391605,53.38990188170156,0.5259640306739358
0x39ebc65b0b151f7c951b008e70cccbf5a8e39518,351904.2703998231,10217.973307432843,61,60,1,453.2602323276907,-16977.640632228595,27195.61393966144,-16977.640632228595,248,107,18.671268438391326,10.536671092532133,0.0,56.0,107717.33039982311,1138.9473747418708,-15.761289821434781,GMXV1,165.0,165.0,165,2.0180263724546204,19.114182463029195,0.0,2.9036229926461217,SELL,0.9836065573770492,1.6018133918234447,33.82243359259922,175.89223073978337,0.5228747775671632
0x663abb3757e245153a3e3d348d4768e13daac604,222634.8377955161,15783.780774559656,44,37,7,548.2636689541132,-643.1392823917911,20285.75575130219,-4501.974976742537,248,35,12.249288013128142,15.614120801682683,0.0,35.0,35594.68780266192,538.9686725776382,-66.1982735505537,GMXV2,37.0,37.0,37,4.2386201745007925,10.62436741876799,0.0,7.089537707057608,SELL,0.8409090909090909,4.5051895371574275,14.97827121721039,55.08195820906941,0.518495875166551
0x4a833c287a387fd31e38be89be296249d7d8e320,176486.13842479256,8088.896969397647,81,75,6,148.43278373651273,-507.26030180680135,11132.458780238456,-3043.561810840808,617,107,8.141288467111828,6.270401837953595,0.0,21.0,30560.225934048456,659.4443658360581,-27.762209764549198,GMXV1,2.0,1.0,1,1.5048734049021404,7.801978234667304,0.0,4.583304412229878,SELL,0.9259259259259259,3.656834537106593,24.765787569584397,102.67465074445204,0.5173882799344274
0x6e8a1a1d86b0e757abb948566ee307d14f4eaab9,6344627.347118845,52752.20863481078,43,40,3,1650.0858004455672,-4417.074461003971,66003.43201782269,-13251.223383011913,52,4,74.65723738015126,43.74072859337806,0.0,43.0,2886852.77611896,3210.2612073465043,-2.5058328172363256,GMXV2,11.0,11.0,11,0.21643551312959838,100.0,0.0,0.831446919554165,SELL,0.9302325581395349,4.980630805124677,32.60116033014241,6299.031886473212,0.5137741694624535
